epoch,train_loss,train_accuracy,val_loss,val_accuracy,epoch_time
51,0.5981064222075723,60.234375,,,817.5889372825623
52,0.5913497913967479,62.421875,0.5875037691809915,63.046875,862.3217580318451
53,0.5967561223290183,61.5625,,,861.5715525150299
54,0.5940494916655801,64.296875,0.5828363190997731,64.21875,862.2507219314575
55,0.5788028727878224,67.1875,,,845.4311480522156
56,0.5913947441361167,62.578125,0.5791069865226746,64.53125,846.985190153122
57,0.5891760696064342,63.671875,,,851.2114641666412
58,0.58062744140625,64.921875,0.576780151237141,63.90625,850.4008359909058
59,0.5680976239117709,66.953125,,,836.8602356910706
60,0.5884604074738242,63.90625,0.5750966234640642,64.140625,844.7627191543579
61,0.5728020668029785,66.171875,,,838.748064994812
62,0.5760870142416521,65.9375,0.5731358961625532,63.671875,840.8607451915741
63,0.5731654221361334,66.640625,,,831.7526676654816
64,0.5789056366140192,64.0625,0.5714722655036233,63.828125,839.4984698295593
65,0.57726590199904,65.0,,,838.3513503074646
66,0.5690152807669207,65.9375,0.5699778470126066,63.90625,839.109500169754
67,0.5849418802694841,62.578125,,,834.5215349197388
68,0.5745804797519337,65.859375,0.5690967278047041,64.53125,839.7658531665802
69,0.5755376653237776,65.390625,,,843.178115606308
70,0.5766377774151888,64.765625,0.5686124942519448,64.609375,849.9031364917755
71,0.5810249122706327,64.0625,,,843.381495475769
72,0.5803567658771168,64.6875,0.5667911984703757,64.609375,861.5424563884735
73,0.57331152937629,66.640625,,,880.4512875080109
74,0.5754710056565024,65.15625,0.5667406916618347,64.765625,848.3834483623505
75,0.577060265974565,65.3125,,,846.1653008460999
76,0.5785152153535322,65.15625,0.565852701663971,64.53125,852.0881633758545
77,0.5893662517721002,64.765625,,,851.7022066116333
78,0.5720457217910073,65.625,0.5654773766344244,64.53125,852.9582917690277
79,0.577339069409804,66.015625,,,851.6174216270447
80,0.5735263336788524,66.171875,0.5647254044359381,64.84375,858.8348820209503
81,0.5704629908908497,66.640625,,,837.7324707508087
82,0.5715137178247626,64.921875,0.5639376802877947,64.921875,838.5304071903229
83,0.5697470036419955,66.5625,,,845.7341001033783
84,0.5846019820733503,64.0625,0.5637192617763173,65.46875,845.8566782474518
85,0.5673531510613181,66.796875,,,873.6394999027252
86,0.5707456036047502,67.265625,0.563464343547821,65.234375,914.7560102939606
87,0.5726488503542814,66.5625,,,868.1941714286804
88,0.583184074271809,65.546875,0.5635653680021112,64.921875,872.7911627292633
89,0.575512170791626,66.171875,,,869.5426571369171
90,0.5862262086434797,63.984375,0.5631151145154779,65.234375,880.726690530777
91,0.571268227967349,66.71875,,,855.6745436191559
92,0.5689609917727384,67.34375,0.5627536448565397,65.0,946.1885104179382
93,0.5811270096085288,64.0625,,,936.5385942459106
94,0.5767505277286876,66.328125,0.5623394034125588,65.234375,905.2740571498871
95,0.5726366314021024,66.5625,,,924.9863226413727
96,0.5699224742976102,65.46875,0.5628144578500227,65.078125,894.3596391677856
97,0.58299766887318,64.296875,,,849.4222295284271
98,0.5811449506066062,64.765625,0.5619955333796415,65.46875,863.522557258606
99,0.5798291293057528,66.09375,,,861.7979416847229
100,0.5803990635004911,65.078125,0.56159738518975,65.546875,1200.4793083667755
