epoch,train_loss,train_accuracy,val_loss,val_accuracy,epoch_time
1,0.6388427723537792,48.046875,,,288.27419805526733
2,0.6398458751765165,46.953125,0.6403727693991228,46.5625,294.8869593143463
3,0.6335088556463068,50.15625,,,297.9697051048279
4,0.6350062218579379,48.828125,0.6369739229028876,47.96875,310.7813506126404
5,0.632234047759663,52.5,,,311.475115776062
6,0.6324455033649098,52.421875,0.6333129405975342,54.140625,317.95821952819824
7,0.6330679655075073,51.5625,,,330.088894367218
8,0.6301449157974937,53.828125,0.631638532335108,54.84375,363.7757840156555
9,0.6284107078205455,54.375,,,357.69001388549805
10,0.6311101100661538,51.40625,0.6299324848435142,55.703125,320.4124355316162
11,0.6315245899287137,51.875,,,311.1368453502655
12,0.6275405992161144,54.140625,0.6286981051618402,56.171875,287.6338210105896
13,0.6306880712509155,51.09375,,,269.9726731777191
14,0.6274853836406361,51.953125,0.6273731210015037,55.625,271.90615487098694
15,0.6287810910831798,52.5,,,271.1219027042389
16,0.6252262592315674,54.140625,0.6267833980647001,56.015625,275.25015020370483
17,0.6241287318142977,55.15625,,,272.04084944725037
18,0.6278157505122098,51.09375,0.6260571588169445,55.78125,273.46624779701233
19,0.6226510080424222,55.703125,,,272.0069441795349
20,0.6254272515123541,54.296875,0.6242841265418313,55.78125,279.45557856559753
21,0.6198774413629011,56.796875,,,270.524201631546
22,0.6231912591240623,55.703125,0.623035268350081,55.546875,271.998699426651
23,0.6205052787607367,56.796875,,,271.84651279449463
24,0.6216392950578169,55.859375,0.6204713691364635,56.328125,273.5149874687195
25,0.6217013976790688,56.484375,,,271.7214810848236
26,0.6188828403299506,58.59375,0.6182861761613325,58.59375,274.11345744132996
27,0.6187790036201477,57.5,,,271.6719551086426
28,0.6192396879196167,57.8125,0.6151558052409779,59.84375,274.2831025123596
29,0.6168935298919678,58.515625,,,270.29431796073914
30,0.6144434430382468,60.390625,0.6119298989122565,61.171875,279.29875564575195
31,0.6148946556178007,58.046875,,,272.55883717536926
32,0.6168366453864358,57.03125,0.6092099872502413,61.25,280.35545325279236
33,0.6115706454623829,59.296875,,,288.3810305595398
34,0.6130876595323737,58.4375,0.6069032929160378,61.25,294.5653235912323
35,0.6108457066796043,59.140625,,,292.724262714386
36,0.6110997633500532,58.59375,0.6044169610196893,61.171875,295.70683670043945
37,0.603755690834739,60.9375,,,289.18395709991455
38,0.6092138561335477,58.28125,0.6014354933391918,61.40625,295.46973061561584
39,0.6062252955003218,59.140625,,,293.5100271701813
40,0.6074110215360468,59.375,0.5996725071560253,61.71875,303.2359552383423
41,0.6000326709313826,61.40625,,,286.35039162635803
42,0.6040667458014055,60.0,0.5973609577525746,62.03125,286.264860868454
43,0.5966547131538391,61.09375,,,285.55015993118286
44,0.5919018550352617,63.046875,0.5959852500395342,62.109375,299.98369240760803
45,0.5914534330368042,62.8125,,,292.1673879623413
46,0.5961123596538197,61.953125,0.5933982188051398,62.03125,294.66437220573425
47,0.5921177105470137,60.78125,,,295.1850039958954
48,0.5991962281140414,61.015625,0.592355565591292,61.484375,288.60889077186584
49,0.5922356464646079,62.5,,,290.0304114818573
50,0.5883950645273383,63.984375,0.5913554267449812,61.953125,295.0758147239685
