epoch,phase,accuracy,loss,precision,recall,f1,tn,fp,fn,tp
1,train,48.046875,0.6388427723537792,0.4827044025157233,0.4774494556765163,0.4800625488663018,308,329,336,307
2,train,46.953125,0.6398458751765165,0.4798206278026906,0.49233128834355827,0.48599545798637395,280,348,331,321
2,val,46.5625,0.6403727693991228,0.532724505327245,0.4814305364511692,0.5057803468208093,246,307,377,350
3,train,50.15625,0.6335088556463068,0.49777117384843983,0.5275590551181102,0.5122324159021406,307,338,300,335
4,train,48.828125,0.6350062218579379,0.5044378698224852,0.5158850226928896,0.5100972326103216,284,335,320,341
4,val,47.96875,0.6369739229028876,0.5437589670014347,0.5213204951856947,0.5323033707865169,235,318,348,379
5,train,52.5,0.632234047759663,0.5297157622739018,0.6269113149847095,0.5742296918767507,262,364,244,410
6,train,52.42187499999999,0.6324455033649098,0.5285035629453682,0.6773211567732116,0.5937291527685123,226,397,212,445
6,val,54.140625,0.6333129405975342,0.585995085995086,0.656121045392022,0.6190785204412719,216,337,250,477
7,train,51.5625,0.6330679655075073,0.5077120822622108,0.625,0.5602836879432624,265,383,237,395
8,train,53.82812500000001,0.6301449157974937,0.5516014234875445,0.6858407079646017,0.611439842209073,224,378,213,465
8,val,54.84375,0.631638532335108,0.5896510228640193,0.6740027510316369,0.6290115532734275,212,341,237,490
9,train,54.37499999999999,0.6284107078205455,0.5520958083832336,0.6870342771982116,0.6122177954847278,235,374,210,461
10,train,51.40625,0.6311101100661538,0.5202863961813843,0.6646341463414634,0.5836680053547524,222,402,220,436
10,val,55.703125,0.6299324848435142,0.591324200913242,0.7125171939477304,0.6462882096069869,195,358,209,518
10,test,50.390625,0.632637083530426,0.5144766146993318,0.6989409984871406,0.5926876202694035,183,436,199,462
11,train,51.87500000000001,0.6315245899287137,0.5204460966542751,0.6471494607087828,0.5769230769230769,244,387,229,420
12,train,54.140625,0.6275405992161144,0.5417156286721504,0.7006079027355623,0.6110006626905236,232,390,197,461
12,val,56.17187500000001,0.6286981051618402,0.5932584269662922,0.7262723521320495,0.6530612244897959,191,362,199,528
13,train,51.09375000000001,0.6306880712509155,0.4994152046783626,0.6832,0.577027027027027,227,428,198,427
14,train,51.953125,0.6274853836406361,0.5163472378804961,0.7111801242236024,0.5983017635532332,207,429,186,458
14,val,55.625,0.6273731210015037,0.5878453038674033,0.7317744154057771,0.6519607843137255,180,373,195,532
15,train,52.5,0.6287810910831798,0.5143513203214696,0.707740916271722,0.5957446808510638,224,423,185,448
16,train,54.140625,0.6252262592315674,0.5512820512820513,0.7007407407407408,0.6170906718851924,220,385,202,473
16,val,56.015625,0.6267833980647001,0.59255079006772,0.7221458046767538,0.6509609423434594,192,361,202,525
17,train,55.15624999999999,0.6241287318142977,0.5488372093023256,0.7173252279635258,0.621870882740448,234,388,186,472
18,train,51.09375000000001,0.6278157505122098,0.4988095238095238,0.6714743589743589,0.5724043715846995,235,421,205,419
18,val,55.78125000000001,0.6260571588169445,0.5930635838150289,0.7056396148555708,0.6444723618090452,201,352,214,513
19,train,55.703125,0.6226510080424222,0.5363196125907991,0.7065390749601276,0.6097728836889195,270,383,184,443
20,train,54.296875,0.6254272515123541,0.5451388888888888,0.7104072398190046,0.6168958742632613,224,393,192,471
20,val,55.78125000000001,0.6242841265418313,0.5909604519774011,0.71939477303989,0.6488833746898263,191,362,204,523
20,test,53.20312499999999,0.6272225379943848,0.5351473922902494,0.7140695915279879,0.6117952041477641,209,410,189,472
21,train,56.796875,0.6198774413629011,0.5774818401937046,0.7004405286343612,0.6330457863304578,250,349,204,477
22,train,55.703125,0.6231912591240623,0.5430303030303031,0.7021943573667712,0.6124401913875598,265,377,190,448
22,val,55.54687499999999,0.623035268350081,0.5920745920745921,0.6987620357634112,0.6410094637223974,203,350,219,508
23,train,56.796875,0.6205052787607367,0.5714285714285714,0.7229629629629629,0.6383257030739045,239,366,187,488
24,train,55.859375,0.6216392950578169,0.5585365853658537,0.6928895612708018,0.6185010128291695,257,362,203,458
24,val,56.32812499999999,0.6204713691364635,0.5974477958236659,0.7083906464924347,0.6482064191315292,206,347,212,515
25,train,56.484375,0.6217013976790688,0.5562060889929742,0.7274119448698315,0.630391506303915,248,379,178,475
26,train,58.59375,0.6188828403299506,0.5728643216080402,0.7058823529411765,0.6324549237170597,294,340,190,456
26,val,58.59375,0.6182861761613325,0.6188178528347407,0.7056396148555708,0.6593830334190232,237,316,214,513
27,train,57.49999999999999,0.6187790036201477,0.568944099378882,0.6992366412213741,0.6273972602739726,278,347,197,458
28,train,57.8125,0.6192396879196167,0.56865127582017,0.7166921898928025,0.6341463414634146,272,355,185,468
28,val,59.84374999999999,0.6151558052409779,0.6260355029585799,0.7276478679504814,0.6730279898218829,237,316,198,529
29,train,58.51562500000001,0.6168935298919678,0.5721271393643031,0.7211093990755008,0.6380368098159509,281,350,181,468
30,train,60.390625,0.6144434430382468,0.5864570737605804,0.7461538461538462,0.6567366283006093,288,342,165,485
30,val,61.171875,0.6119298989122565,0.6365795724465558,0.7372764786795049,0.6832377310388783,247,306,191,536
30,test,58.12500000000001,0.6177584257992831,0.5768757687576875,0.7095310136157338,0.6363636363636364,275,344,192,469
31,train,58.046875,0.6148946556178007,0.575566750629723,0.69558599695586,0.6299104066161269,286,337,200,457
32,train,57.03125,0.6168366453864358,0.5609756097560976,0.6775193798449612,0.6137640449438202,293,342,208,437
32,val,61.25000000000001,0.6092099872502413,0.6424167694204685,0.7166437414030261,0.6775032509752926,263,290,206,521
33,train,59.29687500000001,0.6115706454623829,0.5719745222929936,0.7082018927444795,0.6328400281888654,310,336,185,449
34,train,58.4375,0.6130876595323737,0.5604681404421327,0.6896,0.6183644189383071,317,338,194,431
34,val,61.25000000000001,0.6069032929160378,0.6475095785440613,0.6973865199449794,0.671523178807947,277,276,220,507
35,train,59.140625,0.6108457066796043,0.5905947441217151,0.6529051987767585,0.6201888162672476,330,296,227,427
36,train,58.59375,0.6110997633500532,0.5755102040816327,0.6599063962558502,0.6148255813953488,327,312,218,423
36,val,61.171875,0.6044169610196893,0.6497395833333334,0.686382393397524,0.6675585284280936,284,269,228,499
37,train,60.9375,0.603755690834739,0.59375,0.7080745341614907,0.6458923512747875,324,312,188,456
38,train,58.28124999999999,0.6092138561335477,0.5738786279683378,0.673374613003096,0.6196581196581197,311,323,211,435
38,val,61.40624999999999,0.6014354933391918,0.6511024643320363,0.6905089408528198,0.6702269692923899,284,269,225,502
