epoch,circuit_depth,num_gates,num_parameters,execution_time
102,16,29,9,0
104,16,29,9,0
106,16,29,9,0
108,16,29,9,0
110,16,29,9,0
112,16,29,9,0
114,16,29,9,0
116,16,29,9,0
